DN,area_ha,class
"3",0.123,water
"1",0.061,forest
"1",0.123,forest
"4",0.799,land
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.307,forest
"4",0.123,land
"1",0.061,forest
"1",0.061,forest
"1",0.123,forest
"1",44.262,forest
"1",0.123,forest
"1",0.123,forest
"1",0.184,forest
"1",0.061,forest
"1",0.123,forest
"1",0.062,forest
"4",4.428,land
"1",0.185,forest
"1",5.289,forest
"1",0.123,forest
"1",0.062,forest
"4",62.349,land
"1",2.030,forest
"4",0.062,land
"4",0.062,land
"4",0.062,land
"4",0.123,land
"3",0.062,water
"1",0.123,forest
"1",0.123,forest
"4",3.630,land
"1",0.185,forest
"4",0.062,land
"4",0.062,land
"1",0.062,forest
"1",0.861,forest
"1",1.292,forest
"1",12.426,forest
"1",0.185,forest
"4",0.062,land
"1",0.246,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"4",0.062,land
"4",0.123,land
"1",0.062,forest
"4",1.477,land
"4",0.062,land
"4",0.308,land
"1",0.431,forest
"4",0.185,land
"1",0.062,forest
"1",0.062,forest
"1",0.185,forest
"4",0.492,land
"1",0.185,forest
"1",0.923,forest
"1",0.185,forest
"3",0.062,water
"1",0.062,forest
"1",0.246,forest
"1",0.123,forest
"1",0.246,forest
"1",0.123,forest
"3",0.308,water
"1",0.123,forest
"1",0.062,forest
"1",14.644,forest
"1",0.123,forest
"1",0.492,forest
"1",0.062,forest
"1",0.062,forest
"1",0.185,forest
"4",3.139,land
"1",0.123,forest
"1",0.123,forest
"4",3.508,land
"1",0.123,forest
"1",0.123,forest
"1",0.492,forest
"1",0.062,forest
"1",0.431,forest
"1",0.369,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.185,forest
"1",0.062,forest
"1",0.123,forest
"4",0.185,land
"1",0.616,forest
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.246,forest
"4",2.154,land
"1",0.062,forest
"1",0.246,forest
"4",0.369,land
"1",0.062,forest
"4",0.123,land
"1",0.431,forest
"1",0.062,forest
"4",0.123,land
"1",0.123,forest
"1",0.308,forest
"1",0.123,forest
"4",0.431,land
"1",0.062,forest
"4",0.492,land
"1",0.185,forest
"4",0.185,land
"1",0.062,forest
"4",0.554,land
"4",0.123,land
"1",0.246,forest
"4",0.123,land
"4",0.985,land
"1",0.246,forest
"4",0.062,land
"1",0.062,forest
"3",0.123,water
"3",0.123,water
"1",0.492,forest
"1",0.062,forest
"1",0.308,forest
"1",0.369,forest
"1",0.800,forest
"3",0.123,water
"1",0.554,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.246,forest
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"4",0.062,land
"1",0.246,forest
"1",0.554,forest
"1",0.062,forest
"1",0.123,forest
"4",0.246,land
"1",0.062,forest
"1",20.189,forest
"4",89.422,land
"4",8.495,land
"1",0.554,forest
"4",4.925,land
"1",0.246,forest
"1",0.123,forest
"1",0.246,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"4",0.062,land
"1",0.123,forest
"1",0.246,forest
"1",0.062,forest
"1",0.246,forest
"1",0.185,forest
"4",0.185,land
"4",0.062,land
"1",0.246,forest
"1",0.123,forest
"4",0.062,land
"1",0.308,forest
"1",0.062,forest
"1",0.246,forest
"1",0.246,forest
"1",0.493,forest
"1",0.062,forest
"1",0.062,forest
"4",2.463,land
"4",1.908,land
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"4",4.740,land
"1",0.062,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.369,forest
"1",0.123,forest
"3",0.246,water
"1",0.062,forest
"4",0.062,land
"1",0.246,forest
"1",0.123,forest
"4",0.062,land
"4",1.047,land
"1",0.185,forest
"1",0.062,forest
"4",0.062,land
"1",1.724,forest
"4",0.123,land
"4",3.694,land
"1",3.694,forest
"1",0.062,forest
"1",0.185,forest
"3",0.123,water
"1",0.062,forest
"4",0.369,land
"1",0.123,forest
"4",0.062,land
"1",0.123,forest
"3",0.123,water
"4",48.088,land
"1",15.208,forest
"4",0.123,land
"1",0.062,forest
"3",0.062,water
"1",0.062,forest
"1",0.062,forest
"1",0.924,forest
"4",0.062,land
"1",0.062,forest
"4",0.185,land
"1",0.062,forest
"4",0.185,land
"4",0.062,land
"1",0.062,forest
"3",0.123,water
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"1",28.816,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.246,forest
"1",0.062,forest
"1",0.554,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"4",0.062,land
"1",0.123,forest
"4",0.185,land
"4",0.062,land
"1",0.123,forest
"1",0.185,forest
"1",0.062,forest
"4",0.123,land
"1",0.123,forest
"4",0.739,land
"1",0.369,forest
"1",0.185,forest
"4",0.062,land
"1",21.920,forest
"1",0.062,forest
"1",0.062,forest
"4",0.123,land
"1",0.123,forest
"4",0.062,land
"1",0.123,forest
"1",0.246,forest
"1",0.062,forest
"1",0.308,forest
"1",0.308,forest
"4",0.062,land
"1",0.185,forest
"4",0.123,land
"4",0.123,land
"1",4.681,forest
"1",5.728,forest
"4",0.062,land
"1",0.246,forest
"4",0.185,land
"1",0.185,forest
"1",0.123,forest
"1",0.308,forest
"1",0.246,forest
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"4",49.759,land
"4",0.062,land
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"3",0.062,water
"1",0.062,forest
"4",0.739,land
"1",0.123,forest
"4",0.123,land
"4",0.123,land
"1",0.062,forest
"1",2.525,forest
"1",0.062,forest
"1",0.123,forest
"4",0.062,land
"4",3.203,land
"1",0.062,forest
"3",0.062,water
"1",0.062,forest
"4",0.185,land
"3",0.123,water
"3",0.062,water
"4",0.062,land
"4",0.801,land
"4",0.123,land
"1",0.062,forest
"1",0.308,forest
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"1",0.185,forest
"1",0.185,forest
"4",0.062,land
"3",0.062,water
"1",0.062,forest
"1",0.246,forest
"4",7.700,land
"4",0.062,land
"3",0.123,water
"3",0.062,water
"3",0.123,water
"3",0.062,water
"1",24.639,forest
"4",0.246,land
"1",0.493,forest
"4",0.801,land
"1",0.062,forest
"1",0.801,forest
"1",7.023,forest
"1",0.123,forest
"1",0.062,forest
"4",0.062,land
"1",0.678,forest
"1",0.062,forest
"4",0.123,land
"1",1.417,forest
"4",15.896,land
"1",0.185,forest
"1",0.062,forest
"1",0.123,forest
"1",0.185,forest
"1",0.123,forest
"1",3.327,forest
"1",0.246,forest
"1",0.123,forest
"4",0.062,land
"1",0.308,forest
"4",0.246,land
"1",0.185,forest
"4",0.062,land
"1",0.555,forest
"1",0.555,forest
"1",0.308,forest
"4",2.403,land
"1",0.123,forest
"1",0.123,forest
"4",0.370,land
"4",0.739,land
"4",0.062,land
"1",0.123,forest
"4",0.062,land
"4",0.062,land
"1",0.062,forest
"4",0.246,land
"4",1.109,land
"4",0.062,land
"4",0.123,land
"1",17.868,forest
"1",1.047,forest
"1",0.308,forest
"1",0.062,forest
"1",0.246,forest
"1",0.123,forest
"1",0.185,forest
"1",0.062,forest
"1",0.062,forest
"4",4.128,land
"1",0.123,forest
"1",0.431,forest
"1",0.185,forest
"1",0.062,forest
"1",0.062,forest
"4",0.062,land
"1",0.986,forest
"1",0.123,forest
"1",0.062,forest
"4",0.062,land
"1",7.640,forest
"4",0.246,land
"1",0.123,forest
"4",0.062,land
"1",0.062,forest
"4",0.185,land
"1",0.062,forest
"4",0.062,land
"1",0.062,forest
"4",11.831,land
"1",2.835,forest
"1",0.185,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",1.849,forest
"4",2.527,land
"1",0.185,forest
"4",1.048,land
"1",0.062,forest
"4",0.370,land
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"4",23.478,land
"4",0.247,land
"4",0.062,land
"4",0.062,land
"4",0.062,land
"4",0.062,land
"4",0.185,land
"4",0.185,land
"4",0.863,land
"4",0.247,land
"4",0.062,land
"4",0.185,land
"3",0.062,water
"3",0.185,water
"4",0.062,land
"4",0.247,land
"3",0.062,water
"4",0.185,land
"4",0.247,land
"3",0.062,water
"1",0.062,forest
"3",0.185,water
"1",0.062,forest
"1",0.062,forest
"3",0.062,water
"1",0.062,forest
"4",3.637,land
"4",0.062,land
"4",0.123,land
"4",0.185,land
"4",0.062,land
"4",0.062,land
"4",0.062,land
"1",0.062,forest
"4",0.185,land
"1",0.123,forest
"4",5.858,land
"1",0.062,forest
"4",0.123,land
"1",0.247,forest
"1",0.123,forest
"4",0.308,land
"1",0.123,forest
"1",0.370,forest
"1",0.062,forest
"1",0.185,forest
"1",0.062,forest
"1",0.185,forest
"4",0.062,land
"1",0.185,forest
"4",0.247,land
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"1",0.370,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.185,forest
"1",0.247,forest
"1",0.555,forest
"3",2.034,water
"1",0.123,forest
"4",1.171,land
"4",0.062,land
"4",1.171,land
"1",0.062,forest
"1",0.308,forest
"4",15.481,land
"1",1.850,forest
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"4",0.123,land
"3",1.665,water
"1",0.185,forest
"4",1.480,land
"4",0.062,land
"1",0.308,forest
"1",0.123,forest
"1",0.370,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.617,forest
"3",0.123,water
"4",0.062,land
"4",0.123,land
"1",1.048,forest
"3",0.062,water
"4",0.123,land
"1",0.062,forest
"4",0.185,land
"1",0.062,forest
"1",0.247,forest
"1",0.185,forest
"1",0.123,forest
"1",0.370,forest
"4",0.123,land
"1",0.123,forest
"1",0.062,forest
"1",0.555,forest
"4",0.247,land
"1",0.863,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.308,forest
"4",0.123,land
"1",0.247,forest
"4",0.123,land
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"4",0.185,land
"4",0.062,land
"1",0.062,forest
"1",0.308,forest
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"4",0.863,land
"1",0.123,forest
"4",3.452,land
"1",0.123,forest
"1",0.123,forest
"1",0.986,forest
"1",0.370,forest
"1",0.801,forest
"1",0.123,forest
"1",0.308,forest
"4",0.308,land
"1",0.062,forest
"1",0.123,forest
"3",0.123,water
"1",0.185,forest
"4",0.062,land
"1",0.062,forest
"3",0.123,water
"1",0.062,forest
"4",0.123,land
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"4",0.123,land
"3",0.062,water
"4",0.185,land
"1",0.062,forest
"4",0.678,land
"1",0.740,forest
"1",0.863,forest
"1",0.555,forest
"1",1.788,forest
"1",0.123,forest
"4",0.678,land
"1",0.185,forest
"1",1.295,forest
"1",0.432,forest
"1",0.123,forest
"4",1.418,land
"1",0.123,forest
"1",0.062,forest
"1",1.418,forest
"1",1.048,forest
"1",0.123,forest
"1",1.233,forest
"1",0.247,forest
"4",0.123,land
"1",0.678,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.308,forest
"1",0.123,forest
"4",0.185,land
"4",0.185,land
"1",0.185,forest
"1",0.062,forest
"1",0.123,forest
"4",0.062,land
"1",0.062,forest
"1",0.185,forest
"1",0.185,forest
"1",0.247,forest
"1",0.925,forest
"3",0.185,water
"4",2.404,land
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",4.069,forest
"4",0.185,land
"4",0.247,land
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"1",0.493,forest
"1",0.308,forest
"1",0.123,forest
"1",0.370,forest
"1",11.529,forest
"4",0.555,land
"1",0.123,forest
"4",0.062,land
"1",0.123,forest
"4",0.062,land
"1",0.493,forest
"1",0.185,forest
"1",0.062,forest
"4",0.185,land
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"1",0.185,forest
"1",0.185,forest
"1",0.555,forest
"4",0.432,land
"4",0.123,land
"1",0.185,forest
"4",0.062,land
"1",0.062,forest
"1",0.185,forest
"4",0.185,land
"1",0.370,forest
"1",0.432,forest
"1",0.123,forest
"1",2.158,forest
"4",0.062,land
"1",0.062,forest
"1",0.247,forest
"4",0.123,land
"4",0.123,land
"1",0.925,forest
"1",0.185,forest
"4",0.123,land
"1",0.247,forest
"4",0.062,land
"1",0.185,forest
"1",0.308,forest
"1",0.062,forest
"1",0.123,forest
"1",0.802,forest
"4",0.123,land
"1",0.247,forest
"4",11.097,land
"1",0.062,forest
"4",1.233,land
"1",0.185,forest
"1",0.062,forest
"1",0.062,forest
"1",0.555,forest
"1",0.123,forest
"1",1.541,forest
"1",0.062,forest
"1",0.062,forest
"1",0.185,forest
"1",0.062,forest
"1",0.062,forest
"4",0.370,land
"4",0.062,land
"1",0.062,forest
"1",0.123,forest
"4",0.247,land
"1",0.185,forest
"1",0.247,forest
"1",0.062,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"4",0.062,land
"1",0.062,forest
"1",0.185,forest
"4",0.062,land
"4",0.247,land
"1",0.062,forest
"4",17.139,land
"3",1.233,water
"4",14.735,land
"4",1.541,land
"1",1.048,forest
"4",0.555,land
"4",4.069,land
"1",0.678,forest
"1",0.370,forest
"1",0.123,forest
"1",0.986,forest
"1",0.123,forest
"1",0.062,forest
"1",0.308,forest
"1",0.432,forest
"3",0.062,water
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.185,forest
"1",0.493,forest
"4",0.185,land
"1",1.418,forest
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.185,forest
"1",0.185,forest
"1",0.308,forest
"4",0.062,land
"1",0.062,forest
"1",0.370,forest
"3",0.062,water
"1",0.123,forest
"1",0.925,forest
"1",0.308,forest
"1",0.123,forest
"1",0.062,forest
"4",0.185,land
"1",0.062,forest
"1",0.185,forest
"1",0.123,forest
"1",0.308,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.185,forest
"1",0.123,forest
"1",1.110,forest
"3",0.062,water
"4",0.062,land
"1",5.734,forest
"3",0.062,water
"1",1.356,forest
"3",0.062,water
"1",0.925,forest
"4",0.123,land
"1",0.123,forest
"1",12.392,forest
"4",0.370,land
"4",0.123,land
"1",0.185,forest
"1",0.123,forest
"1",0.185,forest
"1",0.247,forest
"4",0.062,land
"4",0.123,land
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.123,forest
"4",0.123,land
"4",0.555,land
"1",0.432,forest
"1",0.247,forest
"1",0.062,forest
"1",0.062,forest
"1",0.740,forest
"4",0.123,land
"1",0.185,forest
"1",0.062,forest
"3",0.185,water
"1",0.062,forest
"4",0.062,land
"1",0.247,forest
"1",0.493,forest
"1",0.123,forest
"4",0.062,land
"1",0.247,forest
"1",0.185,forest
"4",0.432,land
"4",32.861,land
"1",0.062,forest
"4",0.062,land
"1",0.062,forest
"1",2.713,forest
"4",0.185,land
"4",0.370,land
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"4",2.158,land
"4",0.370,land
"1",0.185,forest
"1",0.247,forest
"1",0.123,forest
"1",0.062,forest
"1",0.247,forest
"4",0.925,land
"1",0.308,forest
"1",0.123,forest
"1",0.062,forest
"1",0.185,forest
"1",0.555,forest
"1",0.062,forest
"4",0.432,land
"1",0.123,forest
"4",0.123,land
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.185,forest
"4",0.062,land
"4",0.185,land
"4",0.123,land
"4",0.247,land
"1",0.062,forest
"1",0.370,forest
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"4",0.247,land
"1",0.185,forest
"4",0.062,land
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"1",0.062,forest
"3",0.062,water
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"4",0.062,land
"4",0.062,land
"4",0.062,land
"4",0.123,land
"3",0.062,water
"1",0.247,forest
"1",0.370,forest
"1",0.247,forest
"4",0.062,land
"1",0.185,forest
"4",0.123,land
"1",0.185,forest
"4",0.123,land
"1",0.247,forest
"4",0.062,land
"1",0.123,forest
"1",0.123,forest
"1",0.493,forest
"4",0.062,land
"1",1.171,forest
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"3",0.062,water
"4",0.370,land
"4",0.062,land
"1",0.308,forest
"1",0.308,forest
"1",0.493,forest
"1",0.247,forest
"1",0.740,forest
"1",0.123,forest
"4",1.541,land
"1",0.123,forest
"1",0.247,forest
"1",0.185,forest
"1",0.062,forest
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"4",0.062,land
"1",0.123,forest
"4",0.185,land
"4",0.185,land
"1",0.370,forest
"1",0.062,forest
"1",0.123,forest
"4",0.062,land
"1",0.185,forest
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",2.528,forest
"1",0.370,forest
"1",1.110,forest
"1",0.247,forest
"4",0.617,land
"1",0.370,forest
"4",0.432,land
"4",2.836,land
"1",0.123,forest
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"1",0.555,forest
"1",0.123,forest
"1",0.370,forest
"1",0.987,forest
"4",0.123,land
"1",0.062,forest
"3",0.123,water
"1",0.308,forest
"1",0.185,forest
"1",0.185,forest
"1",0.123,forest
"1",0.123,forest
"1",0.185,forest
"1",0.062,forest
"1",0.370,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.555,forest
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"3",0.185,water
"1",0.123,forest
"1",0.370,forest
"4",0.247,land
"1",0.308,forest
"4",0.370,land
"4",2.281,land
"4",19.792,land
"4",0.062,land
"4",0.062,land
"4",0.678,land
"1",0.123,forest
"4",0.062,land
"4",0.062,land
"1",0.617,forest
"1",0.062,forest
"1",0.617,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.802,forest
"1",0.062,forest
"1",0.123,forest
"1",0.247,forest
"1",0.432,forest
"1",0.370,forest
"1",0.247,forest
"1",0.247,forest
"1",0.123,forest
"1",0.123,forest
"1",0.185,forest
"1",0.185,forest
"1",0.678,forest
"4",0.062,land
"4",0.123,land
"4",0.062,land
"4",1.048,land
"4",0.308,land
"1",0.247,forest
"1",0.185,forest
"1",0.185,forest
"4",0.123,land
"4",0.062,land
"4",0.123,land
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"4",0.123,land
"1",0.062,forest
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"4",1.110,land
"4",0.062,land
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.247,forest
"1",0.308,forest
"1",0.062,forest
"1",0.062,forest
"4",0.062,land
"1",0.062,forest
"1",0.555,forest
"4",0.802,land
"1",0.185,forest
"4",0.123,land
"3",0.802,water
"4",0.185,land
"4",0.123,land
"1",0.062,forest
"1",0.123,forest
"1",0.247,forest
"1",0.123,forest
"1",0.062,forest
"4",0.062,land
"1",0.062,forest
"1",0.123,forest
"3",0.062,water
"1",0.185,forest
"1",0.123,forest
"1",0.123,forest
"1",0.123,forest
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"4",0.247,land
"1",0.062,forest
"4",0.062,land
"1",0.432,forest
"1",0.185,forest
"1",0.123,forest
"4",0.308,land
"1",0.062,forest
"4",0.123,land
"1",0.370,forest
"1",0.123,forest
"1",0.247,forest
"3",0.247,water
"3",0.493,water
"4",0.185,land
"4",0.123,land
"4",0.062,land
"4",0.123,land
"1",0.185,forest
"1",0.123,forest
"1",0.062,forest
"1",0.062,forest
"1",0.123,forest
"1",0.247,forest
"1",0.062,forest
"1",0.123,forest
"1",0.123,forest
"1",0.617,forest
"1",0.062,forest
"1",0.123,forest
"1",0.247,forest
"4",0.123,land
"1",0.432,forest
"1",0.123,forest
"1",0.062,forest
"1",2.220,forest
"1",0.185,forest
"4",0.062,land
