DN,area,Class
"1",0.061,forest
"4",0.122,land
"4",0.182,land
"1",0.122,forest
"3",0.122,water
"4",0.122,land
"1",0.122,forest
"3",0.182,water
"4",0.061,land
"3",0.182,water
"4",0.912,land
"1",0.122,forest
"3",0.122,water
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"3",1.155,water
"1",0.061,forest
"4",0.304,land
"3",0.061,water
"3",1.216,water
"1",0.122,forest
"1",6.079,forest
"1",0.061,forest
"3",0.365,water
"4",0.426,land
"4",0.182,land
"3",0.122,water
"3",0.486,water
"3",0.122,water
"4",0.243,land
"3",0.061,water
"1",0.061,forest
"3",0.122,water
"1",1.034,forest
"3",0.122,water
"0",0.061,non-def
"1",0.061,forest
"1",0.304,forest
"3",0.365,water
"1",0.122,forest
"4",0.304,land
"1",0.243,forest
"4",0.243,land
"1",0.061,forest
"1",0.547,forest
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"4",0.061,land
"1",0.061,forest
"3",0.122,water
"3",0.122,water
"1",0.304,forest
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"1",0.122,forest
"1",0.122,forest
"4",0.182,land
"1",0.122,forest
"4",0.061,land
"1",0.790,forest
"1",0.122,forest
"1",0.061,forest
"4",0.122,land
"4",0.122,land
"4",0.061,land
"4",0.122,land
"4",0.061,land
"4",0.790,land
"4",0.061,land
"4",0.122,land
"4",0.122,land
"4",0.547,land
"3",0.122,water
"4",0.122,land
"4",0.122,land
"4",0.061,land
"1",0.304,forest
"4",0.122,land
"1",0.243,forest
"1",0.243,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",2.006,forest
"1",0.304,forest
"4",2.553,land
"1",0.365,forest
"1",0.304,forest
"4",0.182,land
"4",0.608,land
"1",0.061,forest
"3",0.365,water
"4",0.122,land
"4",0.061,land
"1",0.122,forest
"1",0.122,forest
"1",10.152,forest
"1",0.547,forest
"1",0.061,forest
"3",0.061,water
"1",0.790,forest
"1",0.122,forest
"1",0.243,forest
"1",0.304,forest
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"4",0.122,land
"3",0.122,water
"3",0.182,water
"3",0.243,water
"1",0.122,forest
"4",0.061,land
"1",0.122,forest
"1",0.122,forest
"3",0.061,water
"1",0.547,forest
"3",1.824,water
"3",2.675,water
"3",0.182,water
"3",0.061,water
"1",0.061,forest
"3",0.061,water
"1",0.182,forest
"1",0.061,forest
"3",0.061,water
"3",0.122,water
"4",0.365,land
"1",0.486,forest
"1",0.061,forest
"1",0.426,forest
"1",0.182,forest
"1",0.122,forest
"4",0.061,land
"1",0.061,forest
"1",0.669,forest
"3",0.122,water
"4",0.061,land
"3",1.155,water
"3",0.304,water
"1",0.486,forest
"3",0.365,water
"3",0.122,water
"4",0.061,land
"3",0.061,water
"1",0.243,forest
"1",0.243,forest
"1",0.851,forest
"1",0.122,forest
"3",0.122,water
"1",0.122,forest
"1",0.122,forest
"3",0.122,water
"1",0.182,forest
"3",0.122,water
"1",0.304,forest
"1",0.182,forest
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.182,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.365,forest
"3",0.122,water
"1",0.243,forest
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.182,forest
"4",0.243,land
"4",0.730,land
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"1",0.182,forest
"1",1.155,forest
"1",0.061,forest
"4",0.243,land
"4",0.061,land
"4",0.122,land
"1",0.122,forest
"3",0.122,water
"4",0.061,land
"4",0.547,land
"4",0.122,land
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",6.383,forest
"4",0.851,land
"4",0.061,land
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"4",0.182,land
"1",0.243,forest
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.669,forest
"1",0.061,forest
"1",0.608,forest
"1",0.061,forest
"1",2.736,forest
"1",0.122,forest
"1",0.182,forest
"1",0.486,forest
"1",0.122,forest
"1",174.915,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"3",0.182,water
"1",1.945,forest
"3",0.122,water
"1",0.061,forest
"4",0.061,land
"1",0.365,forest
"1",0.730,forest
"3",0.486,water
"4",0.122,land
"1",0.243,forest
"3",0.122,water
"3",0.061,water
"1",0.061,forest
"4",0.243,land
"1",0.365,forest
"3",0.122,water
"1",0.365,forest
"1",0.122,forest
"1",0.061,forest
"3",0.122,water
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.061,forest
"3",0.061,water
"3",0.304,water
"1",0.243,forest
"3",0.061,water
"1",1.581,forest
"1",0.122,forest
"4",0.304,land
"4",0.365,land
"3",0.122,water
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"3",0.304,water
"3",0.061,water
"4",0.243,land
"1",0.243,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.243,forest
"4",0.365,land
"3",0.061,water
"1",0.122,forest
"1",0.122,forest
"3",0.061,water
"4",0.304,land
"1",0.061,forest
"1",0.182,forest
"1",0.365,forest
"3",0.061,water
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",0.669,forest
"1",0.304,forest
"1",0.243,forest
"1",0.304,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.304,forest
"1",0.061,forest
"4",0.122,land
"1",0.061,forest
"1",0.182,forest
"4",0.061,land
"4",0.365,land
"4",0.122,land
"1",0.122,forest
"4",0.122,land
"4",0.061,land
"4",0.122,land
"4",0.122,land
"3",0.182,water
"4",0.243,land
"4",0.182,land
"1",0.061,forest
"4",0.182,land
"1",0.061,forest
"1",0.365,forest
"1",0.061,forest
"4",0.304,land
"1",0.122,forest
"4",0.061,land
"1",0.122,forest
"4",0.304,land
"4",0.365,land
"1",0.243,forest
"1",0.061,forest
"1",0.182,forest
"4",0.243,land
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",0.608,forest
"1",0.061,forest
"1",0.061,forest
"4",0.243,land
"1",0.243,forest
"4",0.304,land
"3",0.061,water
"4",0.851,land
"4",0.243,land
"3",0.122,water
"3",0.122,water
"1",1.277,forest
"3",0.061,water
"4",0.061,land
"3",0.061,water
"1",0.790,forest
"4",0.122,land
"3",0.912,water
"3",0.122,water
"3",0.669,water
"4",0.122,land
"3",0.182,water
"1",0.243,forest
"1",0.182,forest
"3",0.122,water
"4",0.182,land
"4",0.122,land
"1",0.061,forest
"1",0.061,forest
"3",0.061,water
"3",0.730,water
"3",0.122,water
"3",0.182,water
"1",0.061,forest
"4",0.061,land
"3",0.122,water
"4",0.122,land
"1",0.061,forest
"4",0.061,land
"1",0.122,forest
"1",0.182,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"3",0.182,water
"3",0.061,water
"1",0.365,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"3",5.107,water
"4",0.061,land
"1",0.304,forest
"1",0.122,forest
"1",0.061,forest
"3",0.061,water
"4",0.122,land
"4",0.122,land
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"1",1.398,forest
"1",0.061,forest
"1",0.182,forest
"1",0.912,forest
"4",0.182,land
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.365,forest
"1",0.426,forest
"1",0.061,forest
"4",0.426,land
"4",0.608,land
"1",0.061,forest
"1",0.061,forest
"4",0.122,land
"4",0.122,land
"4",0.122,land
"4",0.061,land
"1",0.304,forest
"1",0.122,forest
"1",0.182,forest
"1",0.122,forest
"4",0.061,land
"1",0.061,forest
"1",0.182,forest
"1",0.243,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.486,forest
"1",0.243,forest
"3",0.122,water
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.365,forest
"4",0.061,land
"3",0.061,water
"3",0.061,water
"4",0.122,land
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"3",0.061,water
"4",0.243,land
"1",0.061,forest
"1",0.061,forest
"3",0.122,water
"3",0.122,water
"1",0.182,forest
"3",0.061,water
"4",0.061,land
"1",0.122,forest
"3",0.061,water
"4",0.122,land
"1",0.061,forest
"4",0.061,land
"3",0.061,water
"1",0.182,forest
"3",0.122,water
"3",0.061,water
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"3",0.122,water
"4",0.061,land
"1",0.061,forest
"3",0.061,water
"4",0.061,land
"1",0.122,forest
"4",5.715,land
"3",0.122,water
"1",0.182,forest
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"3",0.122,water
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.061,forest
"1",0.243,forest
"3",0.122,water
"1",2.128,forest
"1",0.061,forest
"1",0.061,forest
"4",0.122,land
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"4",0.122,land
"1",0.122,forest
"4",0.061,land
"4",0.122,land
"1",0.061,forest
"1",0.061,forest
"4",0.122,land
"1",0.061,forest
"4",0.061,land
"1",0.122,forest
"4",0.061,land
"4",0.061,land
"4",0.122,land
"4",0.061,land
"1",0.061,forest
"1",0.122,forest
"4",0.122,land
"1",0.061,forest
"1",0.304,forest
"1",0.182,forest
"1",0.122,forest
"1",0.061,forest
"3",0.122,water
"1",0.608,forest
"1",0.182,forest
"1",0.122,forest
"3",0.122,water
"1",0.122,forest
"1",0.243,forest
"1",0.061,forest
"0",23601.717,non-def
"4",17.752,land
"4",7.782,land
"1",2.006,forest
"1",0.790,forest
"3",1.034,water
"1",3.161,forest
"1",1.459,forest
"1",0.608,forest
"3",0.486,water
"1",1.520,forest
"1",1.945,forest
"1",0.790,forest
"3",4.377,water
"3",4.560,water
"4",0.730,land
"3",0.912,water
"1",0.669,forest
"1",0.426,forest
"1",1.216,forest
"1",0.486,forest
"1",1.398,forest
"1",0.608,forest
"4",0.182,land
"1",3.526,forest
"1",0.790,forest
"4",1.216,land
"1",0.304,forest
"1",0.304,forest
"1",0.486,forest
"1",0.243,forest
"3",3.526,water
"4",2.857,land
"1",0.304,forest
"3",0.790,water
"1",0.304,forest
"1",0.243,forest
"1",1.216,forest
"4",0.304,land
"1",0.669,forest
"3",1.459,water
"3",1.398,water
"1",0.122,forest
"1",0.304,forest
"3",0.304,water
"1",0.122,forest
"4",0.365,land
"3",0.182,water
"1",0.669,forest
"3",1.459,water
"3",0.365,water
"4",0.243,land
"1",0.304,forest
"1",0.304,forest
"1",0.669,forest
"1",1.034,forest
"1",0.122,forest
"1",11.916,forest
"1",0.486,forest
"4",2.432,land
"4",5.593,land
"1",0.365,forest
"4",1.034,land
"3",0.304,water
"4",0.912,land
"3",0.243,water
"1",0.365,forest
"1",0.243,forest
"1",0.851,forest
"1",0.304,forest
"1",0.851,forest
"1",1.277,forest
"1",0.365,forest
"1",0.182,forest
"4",0.061,land
"4",1.641,land
"4",0.122,land
"1",0.182,forest
"4",0.122,land
"3",0.122,water
"1",0.061,forest
"3",0.061,water
"3",0.061,water
"1",0.243,forest
"4",0.122,land
"1",0.061,forest
"3",0.061,water
"4",0.061,land
"4",0.061,land
"1",0.122,forest
"1",0.304,forest
"4",0.182,land
"1",0.243,forest
"1",0.122,forest
"3",0.122,water
"1",0.122,forest
"3",0.061,water
"1",0.304,forest
"1",0.122,forest
"4",0.061,land
"3",0.122,water
"3",0.547,water
"4",0.243,land
"1",0.122,forest
"1",0.122,forest
"3",1.094,water
"1",0.365,forest
"1",0.061,forest
"1",0.061,forest
"3",0.243,water
"3",0.122,water
"1",0.122,forest
"3",0.365,water
"1",0.730,forest
"3",1.520,water
"1",1.277,forest
"1",0.304,forest
"1",0.122,forest
"3",0.122,water
"4",0.061,land
"4",0.122,land
"1",0.182,forest
"3",1.459,water
"1",0.061,forest
"1",0.182,forest
"1",0.122,forest
"1",0.182,forest
"1",0.061,forest
"3",0.061,water
"3",0.851,water
"1",0.122,forest
"4",0.061,land
"4",0.243,land
"1",0.365,forest
"4",0.243,land
"3",0.122,water
"3",0.122,water
"4",0.061,land
"3",0.669,water
"4",0.061,land
"1",0.122,forest
"1",0.122,forest
"1",0.182,forest
"1",0.243,forest
"3",0.061,water
"1",0.061,forest
"4",0.122,land
"1",0.426,forest
"4",0.061,land
"1",0.182,forest
"1",0.061,forest
"4",0.182,land
"3",0.122,water
"1",0.061,forest
"1",0.122,forest
"1",0.547,forest
"1",0.122,forest
"1",0.243,forest
"4",0.304,land
"4",0.061,land
"4",0.304,land
"1",0.608,forest
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",8.025,forest
"4",0.061,land
"4",2.067,land
"4",2.128,land
"4",0.122,land
"4",0.182,land
"4",0.061,land
"4",0.304,land
"4",1.094,land
"4",0.061,land
"1",0.790,forest
"1",0.243,forest
"3",0.061,water
"4",1.216,land
"4",0.061,land
"4",1.824,land
"3",0.122,water
"3",0.426,water
"1",0.122,forest
"1",0.304,forest
"1",0.122,forest
"1",0.061,forest
"4",0.122,land
"1",0.061,forest
"1",0.182,forest
"1",0.061,forest
"1",0.061,forest
"1",0.304,forest
"1",1.277,forest
"1",1.702,forest
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"4",0.061,land
"4",0.061,land
"3",0.304,water
"4",0.182,land
"4",0.547,land
"3",1.094,water
"1",0.061,forest
"1",0.669,forest
"1",0.608,forest
"1",0.426,forest
"3",0.061,water
"4",9.909,land
"3",4.316,water
"1",0.122,forest
"1",0.243,forest
"4",0.122,land
"3",1.945,water
"4",0.061,land
"1",0.061,forest
"3",0.122,water
"3",1.459,water
"1",0.243,forest
"1",0.243,forest
"4",0.122,land
"1",0.122,forest
"1",0.122,forest
"1",8.633,forest
"3",5.836,water
"3",0.061,water
"4",0.122,land
"3",0.122,water
"3",0.061,water
"1",0.304,forest
"3",0.365,water
"1",0.243,forest
"3",0.304,water
"4",0.486,land
"4",0.061,land
"3",0.122,water
"4",0.182,land
"1",0.122,forest
"1",0.061,forest
"1",0.243,forest
"3",0.061,water
"3",0.122,water
"1",0.122,forest
"3",0.547,water
"1",1.094,forest
"3",0.365,water
"1",14.043,forest
"3",0.243,water
"1",0.061,forest
"1",0.243,forest
"4",0.243,land
"3",0.122,water
"3",0.061,water
"4",0.182,land
"4",0.243,land
"1",0.061,forest
"1",0.061,forest
"1",2.736,forest
"3",0.061,water
"1",0.182,forest
"3",0.061,water
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"1",0.669,forest
"1",0.182,forest
"1",0.061,forest
"1",0.486,forest
"3",0.061,water
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"4",0.061,land
"4",0.061,land
"3",0.122,water
"4",0.912,land
"3",0.304,water
"4",0.061,land
"4",0.122,land
"1",0.669,forest
"1",0.547,forest
"1",0.122,forest
"1",0.547,forest
"1",0.122,forest
"4",0.122,land
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.426,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.365,forest
"1",0.304,forest
"4",0.122,land
"3",0.122,water
"3",0.669,water
"3",0.122,water
"4",0.426,land
"4",3.952,land
"1",0.243,forest
"3",0.061,water
"1",0.122,forest
"3",0.182,water
"1",0.122,forest
"4",0.061,land
"3",0.790,water
"4",0.243,land
"1",0.061,forest
"1",0.061,forest
"1",0.243,forest
"1",0.122,forest
"1",0.061,forest
"3",0.851,water
"1",0.122,forest
"1",0.061,forest
"4",0.122,land
"4",0.243,land
"4",0.122,land
"4",0.608,land
"1",0.061,forest
"1",1.581,forest
"1",0.243,forest
"3",0.243,water
"1",0.182,forest
"1",0.061,forest
"1",0.182,forest
"1",0.243,forest
"3",0.061,water
"4",0.365,land
"1",0.122,forest
"1",0.061,forest
"1",0.243,forest
"4",0.122,land
"1",1.581,forest
"4",0.304,land
"3",0.243,water
"1",0.182,forest
"3",0.061,water
"3",0.122,water
"1",0.122,forest
"3",0.122,water
"3",0.061,water
"3",0.061,water
"3",1.398,water
"1",0.061,forest
"3",0.182,water
"1",0.061,forest
"1",0.851,forest
"1",0.182,forest
"1",1.398,forest
"1",0.122,forest
"4",0.365,land
"3",0.061,water
"1",0.973,forest
"3",0.122,water
"3",0.182,water
"3",0.730,water
"1",0.122,forest
"1",0.669,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",1.581,forest
"1",0.122,forest
"4",0.061,land
"4",0.122,land
"1",0.122,forest
"4",10.882,land
"1",0.122,forest
"1",0.061,forest
"1",166.257,forest
"4",0.122,land
"4",0.122,land
"1",0.061,forest
"1",0.061,forest
"1",0.304,forest
"1",0.122,forest
"1",0.182,forest
"1",0.182,forest
"1",2.797,forest
"1",0.426,forest
"4",0.243,land
"1",0.122,forest
"4",0.486,land
"4",0.790,land
"4",1.277,land
"1",0.122,forest
"4",0.182,land
"4",2.371,land
"4",1.034,land
"3",0.243,water
"4",0.061,land
"3",0.061,water
"4",0.061,land
"4",0.182,land
"4",0.061,land
"1",0.061,forest
"1",0.061,forest
"4",0.182,land
"4",0.061,land
"4",0.061,land
"4",1.034,land
"1",0.669,forest
"1",0.304,forest
"1",0.243,forest
"3",0.243,water
"3",0.182,water
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.243,forest
"1",0.182,forest
"1",0.122,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"4",0.547,land
"4",0.182,land
"4",0.061,land
"3",0.182,water
"4",0.122,land
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"4",0.122,land
"1",0.122,forest
"1",0.730,forest
"3",0.122,water
"4",0.486,land
"1",0.122,forest
"1",0.122,forest
"3",0.122,water
"1",0.061,forest
"3",0.061,water
"4",0.486,land
"1",0.122,forest
"1",11.125,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"4",0.608,land
"4",0.243,land
"1",0.365,forest
"1",0.061,forest
"1",0.061,forest
"1",34.227,forest
"4",1.277,land
"4",0.061,land
"1",0.122,forest
"1",0.669,forest
"1",0.122,forest
"1",0.061,forest
"4",0.365,land
"4",0.061,land
"1",0.061,forest
"1",0.122,forest
"3",0.122,water
"3",0.365,water
"1",0.730,forest
"1",0.122,forest
"3",0.365,water
"3",0.182,water
"1",0.182,forest
"3",0.122,water
"1",0.122,forest
"1",0.426,forest
"1",0.061,forest
"1",0.182,forest
"1",0.061,forest
"3",0.122,water
"4",0.182,land
"3",0.243,water
"3",0.122,water
"4",0.122,land
"3",0.122,water
"3",0.243,water
"1",0.304,forest
"1",0.122,forest
"1",0.122,forest
"3",0.851,water
"4",0.122,land
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"4",0.243,land
"1",0.061,forest
"3",0.061,water
"1",0.061,forest
"1",0.061,forest
"1",0.061,forest
"1",0.122,forest
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.122,forest
"1",0.426,forest
"1",0.122,forest
"1",0.061,forest
"3",3.040,water
"1",0.851,forest
"1",0.061,forest
"4",0.061,land
"3",0.061,water
"3",0.122,water
"4",0.122,land
"4",0.122,land
"1",0.122,forest
"1",0.061,forest
"1",1.642,forest
"4",0.243,land
"4",0.365,land
"4",0.730,land
"1",0.243,forest
"1",0.061,forest
"1",0.122,forest
"3",0.122,water
"1",0.122,forest
"1",0.182,forest
"1",0.243,forest
"4",0.061,land
"4",0.547,land
"4",0.122,land
"4",0.061,land
"1",0.122,forest
"1",1.277,forest
"1",0.973,forest
"1",0.182,forest
"1",0.122,forest
"1",0.122,forest
"1",0.061,forest
"4",0.182,land
"4",0.061,land
"1",0.061,forest
"1",0.730,forest
"1",0.061,forest
"1",0.122,forest
"3",0.122,water
"1",0.122,forest
"3",0.122,water
"1",0.730,forest
"3",0.122,water
"1",0.243,forest
"3",0.122,water
"1",0.122,forest
"1",0.182,forest
"3",0.304,water
"3",0.426,water
"4",0.061,land
"1",3.526,forest
"1",0.122,forest
"3",0.243,water
"1",0.122,forest
"1",0.243,forest
"1",0.547,forest
"1",0.061,forest
"3",0.304,water
"4",0.426,land
"4",0.061,land
"3",0.122,water
"3",0.486,water
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.304,forest
"4",0.061,land
"1",0.122,forest
"1",0.122,forest
"1",0.182,forest
"1",0.061,forest
"1",0.061,forest
"3",0.182,water
"1",0.122,forest
"3",0.182,water
"1",0.061,forest
"1",0.122,forest
"1",0.122,forest
"1",0.304,forest
"1",0.426,forest
"1",0.122,forest
"1",0.243,forest
"1",0.122,forest
"3",0.061,water
"4",1.277,land
"3",0.061,water
"3",0.304,water
"3",0.365,water
"3",0.182,water
"4",0.061,land
"1",0.182,forest
"1",0.061,forest
"1",0.182,forest
"1",1.216,forest
"4",0.122,land
"1",0.061,forest
"1",0.061,forest
"1",0.243,forest
"1",0.061,forest
"1",0.122,forest
"1",0.912,forest
